o1	o2	o3	t1	t2	t3	v1	v2	v3	p1	p2	p3	j1	j2	ja
NODE_190730_length_155_	0.662037333524952	0.069748227861946	0.115693234000132	0.278063759418945	0.137392437617337	0.31775239883709	0.0183500696957241	0.401016219325928	0.246351720806963	0.048703843920305	0.178113994640302	0.537964692572467	-0.346322074263699	-0.609261357895199	-0.537769224667982
NODE_261197_length_163_	-0.241667309712881	-0.225806255273696	0.0559004741335274	-0.0368267254625758	0.102781230695246	-0.0804903411031903	-0.442759199218621	-0.0453307934343278	-0.12787824149237	0.13842095438137	-0.115362033210579	-0.298607493126894	0.541131779252019	0.514458392423569	0.459942445772608
Locus39178	-0.162759123981515	-0.282603027255546	-0.38319728824442	-0.209634438938313	0.0884791718543405	-0.278964363520867	0.1892381140493	-0.648496974311479	-0.056889569497955	-0.149899151100866	-0.000554459667050491	-0.2542989815761	0.552667221851191	0.694666972653136	0.620028991717596
NODE_254263_length_199_	0.478244122943116	0.365093269486573	0.382730941150496	0.611115160889935	0.30378325551069	0.289529252052031	0.0813423932935816	0.459180863912761	0.42654065507735	0.278701357283988	0.368561364957275	0.75535798690692	-0.720658799118604	-0.398097759031975	-0.052363895347059
Locus33590	0.0759994611175319	0.0686367353533345	0.029999046791398	-0.024197295138847	0.060799844355789	-0.100162484622669	0.0149708509664895	0.124982373953653	-0.199532089449237	0.252352146059484	0.221799463583211	0.0811212617598702	0.436746430688919	0.81868963278678	0.504021762904582
NODE_32726_length_151_	0.51660399490963	0.380223278986307	0.474293000389613	-0.138395353879388	0.045836570834968	0.210522448475501	0.106121208224794	0.385104184419651	0.491480856910154	-0.280003029644137	0.0744633748455822	0.41061793671497	-0.820013593044141	-0.742282680384566	-0.597015522103695
Locus20024	0.67557085853172	0.228091435900536	0.396260646968128	0.26722932139224	-0.0649846997640579	0.214483625897678	-0.0153913924850532	0.372936254412945	0.2558563814895	0.198962236319692	0.137090798817982	0.375719638899722	-0.45247818798355	-0.475846892361046	-0.390655891391727
NODE_117052_length_199_	0.425127586733519	0.269484317524171	0.278609075689737	0.0965680861499048	0.104349612515181	0.252202960290393	0.0650699203485745	0.151855117855343	0.346691553972112	0.151466918768477	0.66912677904603	0.5116322303536	-0.344540975593245	-0.555269340701582	-0.305331648068069
Locus36511	-0.514908504316405	-0.532474845494772	-0.594055826904998	-0.299313256367735	0.217483400089661	-0.103619800471515	-0.225297619793473	-0.428520340620332	-0.458661413908618	-0.0956206550127794	-0.325241234842966	0.0208443801231855	0.704106784124229	0.524449342259622	0.573989852533354
Locus21685	0.23878080269524	0.332507083881532	0.359679141503892	0.218290762866597	0.0377087982321679	0.557996669571072	0.226921521146996	0.317633541541828	-0.0982460840344195	-0.0205948873095219	-0.219431998728546	0.0693974128914276	-1.02751947658387	-0.409916758441284	-0.74098737590346
Locus16121	0.100790930966983	-0.412957915292985	-0.415066088465512	-0.36685693279149	-0.553880708590667	-0.824707917308751	-0.222040244138355	-0.425168168573767	-0.271529364720443	-0.00400519101543115	-0.243737453784143	-0.223155267825762	0.336802326381284	0.613883410067381	0.86361254226536
Locus8249	-0.184823973780213	0.220943874389668	0.367234283980375	0.211715444267739	0.171353934145068	0.139168898469279	0.582586041657329	0.434201994307754	0.561450571140131	0.336868657171849	0.479843045933903	0.738339955430283	-0.66366066991282	-0.543366903610681	-0.406628094029561
Locus1577	-0.206765576755213	-0.926439954608829	-0.576723611258489	-0.422585030255152	-0.351121848067046	-0.853351589246507	-0.484863595065114	-0.569026094800958	-0.993650636294663	-0.0489367712675765	-1.14547877436913	-0.582944163035118	0.543026239556674	0.388609458041181	0.827237864812691
Locus12534	-0.515729500016231	-0.403100554428594	-0.289082230296028	-0.0672579158795188	0.0252332275562045	-0.0754620588507858	-0.312917712156747	-0.259750271796677	-0.461952742313742	-0.0634630715256902	0.0918743295979704	-0.186902035784153	0.596222486366473	0.412966325154108	0.434014098604754
Locus23275	0.767917639854905	0.638210645549127	0.533108234330918	0.470107803735739	0.245197997439832	0.68587653572238	-0.0590325913375413	0.495646813757048	0.279304182770056	0.28121000155178	0.402483630608693	0.325414677815139	-0.61949783122457	-0.159547056556443	-0.542321624795151
Locus17156	-0.17571724024123	-0.0390976310896867	0.192451844936792	0.00849691165519899	-0.137734519912527	0.209059489602163	0.00340772033537615	-0.100792610404777	0.0340884903041953	0.00299278849224275	0.0518724741329874	0.455745910196677	-0.569528983624801	-0.689244941223222	-0.470009326924771
Locus1468	-0.0312680463667577	-0.284719750778971	-0.29315454999725	-0.157064662194371	0.053540341147082	-0.294270068497532	-0.228450607245732	-0.34341464087735	-0.251006552336191	0.244027447341311	-0.270077405583434	-0.445134580874723	0.89072126362355	0.332292701437011	0.530424640641528
Locus9659	-0.256400900493714	-0.597885123076091	-0.292617183884718	-0.236665449185951	-0.487766416354665	-0.539265031387343	-0.884273865782696	-0.160355604612991	-0.413946982671482	-0.01820688556198	-0.499334411520068	-0.004907210654714	0.254046439853238	0.937960705871892	0.752422843337516
NODE_89362_length_313_	0.125488213086065	-0.102798310960759	-0.262302037107751	-0.319348245037567	0.103814431228865	-0.600424961417465	0.0193505231792507	-0.155383310910504	-0.0994115971502912	-0.141939910943999	0.0365954410878172	-0.185491723877132	0.412365641909455	0.616000825975409	0.8860306732905
NODE_258891_length_151_	0.312832257900943	0.122237134631374	0.162784237448614	0.352102436367852	0.19127289406213	0.0692672253677472	-0.312546819066929	0.161382287684266	0.648374440134799	-0.0571190296384389	0.374446747395055	0.157133740303062	-0.75057658491275	-1.00575000915223	-0.425655581163946
Locus1283	0.59404282132172	0.222166661774291	0.314709089315166	0.178328372453301	0.0326651011329366	0.544668312614226	0.469785996153593	0.79469217694627	0.0895695146010935	0.190708045737261	0.123279813742622	0.595985035430867	-0.580916205504194	-0.466587918127527	-0.433129246873239
Locus3121	-0.444836115370512	-0.251972106198495	-0.0181517223976797	-0.234396292729525	-0.102828448815965	-0.158704989989397	-0.14389843156413	-0.330264035382856	-0.351980428833324	0.11687823973244	-0.171329434017596	-0.0610525502596812	0.476889960816629	0.245316139522985	0.401302462731604
Locus19347	-0.321903926812935	-0.472676287252166	-0.335221831093724	-0.386515943987826	-0.356781216033073	-0.186444548838049	-1.05760470296237	-0.434951746455259	-0.703010267500904	-0.0253848100762343	-0.347374000834985	-0.483133061519673	0.660659963432296	0.234605648085638	1.26048714406306
Locus33498	-0.336394844074577	-0.1732603900705	0.0559406398400409	-0.09543197146428	0.312055081460209	-0.103505302949164	-0.153372949966994	0.0244602763989095	-0.134838538061493	0.223251585057704	0.223052209296515	-0.00487266388519	0.551656877382698	0.776668968754727	0.632837787001047
Locus33855	-0.335052900771121	-0.548596911759838	-0.507069069635918	-0.262652703845941	-0.231363018405804	-0.727609030853203	0.300049033976176	-0.287459340161245	-0.532978713045356	-0.581889765750093	-0.539538799961898	-0.416267352350514	0.433215302824672	0.430493477397936	0.729831302554846
Locus40007	0.828999886657654	0.168545970926319	0.400568513756667	-0.253578263482967	0.198666849268419	0.175853272665703	-0.351588188520994	-0.331329259385778	0.223848748661895	-0.0589771714927347	0.0642544507170477	0.52990892217329	-0.966157370098192	-1.2486654646828	-1.00564075237187
Locus12267	-0.514645588786909	-0.556971905323286	-0.589112521478258	-0.393860274830367	-0.445494021168378	0.0821892114160536	-0.968601460600006	-0.266682408318954	-0.802956387187072	-0.510228267839747	-0.865566211295107	-0.459929400844832	0.21914866969009	0.473968651733809	0.817741092398893
Locus17718	-0.509837690480114	-0.780992824995401	-0.643198080235228	-1.1486770016553	-0.495474613843275	-0.608582861893156	-1.56507320089176	-0.741645632713556	-0.872248624188032	-0.885228411093682	-1.20268383087685	-0.751078636125187	0.601588412004803	0.223251132233919	0.0271316011529575
Locus28758	0.201506718550542	0.147348127942071	0.170803055319055	0.0314120527199935	0.106859116641318	0.147602315221059	0.310950083271342	-0.0259961224244925	0.247540979486387	0.20616816791002	-0.035854471906887	0.205869237349955	-0.269759042517725	-0.431326638984722	-0.124981682915946
NODE_189017_length_150_	0.107632765192206	-0.161582772010822	0.2835255852159	0.479903974156473	0.178864502090273	0.185830691669121	0.392723615302593	0.328222467951161	0.363651402886071	-0.144939994262957	0.120151359859938	0.372851409782699	-0.380074021890832	-0.470521592686563	-0.65833427018799
Locus39583	0.172864464643108	-0.0390878805397328	-0.359975409957634	-0.3694692841409	0.233735990650378	-0.709555994241067	0.108345012957032	0.0462059851450978	-0.303827999472122	-0.189814118755491	-0.251637176019287	-0.295875642828993	0.706715602253991	0.781345317090131	0.770769199136875
Locus37383	-0.999656365166732	-0.523488853768693	-0.373359712716089	-0.321242696334862	-0.608767088673747	-0.744439429934985	-1.1665983574253	-0.835019327687305	-0.919766420017111	0.294607432530559	-0.771605044678914	-0.336597148560969	0.436394527577858	0.7928170113954	1.57322843125782
Locus28844	-0.127735828766553	0.0547796051357588	0.136103909437065	0.224884953926515	0.293653619816318	0.740359255222674	-0.112072950755642	0.205524087223985	0.170479281582593	0.014740510184683	0.417952951055583	0.516283769585332	-0.649708917528155	-0.986330547458043	-0.486624936127661
Locus11362	0.113073360532498	0.397029148698477	0.277170532582378	0.316759045825175	0.11719737038112	0.459520918644338	0.0417197065084449	0.104759408977211	0.512298508378656	0.0508749476989799	0.161908962143568	0.578771012609613	-0.289161613700524	-0.431437753946281	-0.403957600148505
NODE_103087_length_164_	-0.254126280999088	-0.12081682783035	-0.270328350780895	-0.408816867860407	-0.688871144701692	-0.0528817514396576	-0.322532238585643	-0.260636134037961	-0.0142092683897788	0.145008126997989	-0.407235169902648	-0.0258323397232405	0.794268346869434	0.929694762049686	0.267279181026477
Locus1984	0.165301419386541	-0.10816709406291	-0.192595057304743	0.0925558297599051	-0.144261945403612	-0.711191407058434	-0.293564397996598	-0.193765232577471	0.0449293683540751	-0.0758780643703869	0.0144330151122736	0.0047021402049656	0.57109994186394	0.770429083167199	0.613638191034775
Locus28874	-0.319810657794679	0.104510353279445	0.100283590666759	0.104489437604996	-0.148582780136554	-0.0949449306612459	0.0889393448523435	0.112907009511746	-0.29310380872065	0.123534888215858	-0.131328832134054	0.0188722443633685	0.442621017819082	0.550623654885775	0.557085626316828
Locus39582	-0.892257794134633	-0.236369862076859	-0.154352489616203	-0.24501420539119	-0.302320017081209	-0.38344347761523	-0.878191166989036	-0.666964588152605	-0.595077242636162	0.0410339329702336	-0.412180057603734	-0.0689088446096484	0.465082464238494	0.57185143495041	0.839518905071184
Locus25125	-0.0712180229131369	0.122467314124835	0.0619891945417475	-0.249584071483952	-0.172761045014004	-0.0489008652623125	0.129125401778008	-0.6536316739349	-0.55734670725387	-0.0332721976212132	-0.319328472721507	-0.095311058913217	0.661780772867427	0.77555462459253	0.578969127679116
Locus21620	-0.451836498862919	-0.411497553007061	-0.520610330013107	-0.435323591156661	0.395433722888608	-0.103726098335501	0.313412001478964	-0.00295550148413606	-0.304933525338481	-0.0427096649182424	-0.176820127354413	0.0791845090406808	0.761461050129756	1.00694918457681	0.812717650701091
Locus30133	-0.583905630261706	-0.840961505763246	-0.792049835737669	-0.334389789540591	-0.655704690963826	-1.24513801854958	-1.80398623283623	-0.747960820551087	-0.538914821966256	-0.0279963228496243	-0.96693428544674	-0.029291987130369	0.679856205882545	1.33560800517223	0.863235906754138
Locus7245	-0.340715017667311	-0.20166419271918	-0.516812465569523	-0.157346248881189	-0.393336046688132	-0.480023309346293	-0.0367267347993899	-0.632503557018485	-0.275812994451736	0.0189741422617845	0.18988508562691	-0.103997483828675	0.694262047744769	0.52410064307427	0.457931762375795
Locus31809	-0.311111638520214	-0.241478258432961	-0.332130374826467	-0.226681491701262	-0.418491935469681	-0.012082922269979	0.165982561866995	0.0106245511128665	-0.40782782525389	-0.14321636325356	-0.559883441897779	-0.385109538042039	0.439735922735742	0.468604438606446	0.422399273767107
